player_id,player,orapm,drapm,rapm,ci_low,ci_high,stint_appearances,estimated_minutes,stints_played
1641748,Andre Jackson Jr.,9.707737505575501,1.8018551730795231,11.502901410559788,5.412942680435894,17.684425602185986,931,697.3344000000014,931
1630174,Aaron Nesmith,3.534595478283918,5.338515235931656,8.866419446120332,3.072158238670087,14.758143858962129,1097,724.2144000000012,1097
1628381,John Collins,4.565763590902812,3.0167536701176583,7.5758259929252345,1.478651508954319,12.72550370763823,1028,786.2496000000009,1028
1628404,Josh Hart,1.5302562446076333,5.1614105252985265,6.684975501810926,-0.2766253248550976,11.885594150171235,2090,1720.3776000000116,2090
201572,Brook Lopez,1.788072651169891,4.860401005597158,6.641782388671817,1.8472377097155115,11.390848455959643,1566,1222.0128000000063,1566
1628379,Luke Kennard,3.2267086303320434,3.2248807671209447,6.444898129357752,0.4584706045063946,11.161249566789657,2070,1257.552000000007,2070
1628378,Donovan Mitchell,3.5065380984976526,2.3339988910306055,5.833845721433021,0.6111950645031474,10.99168639355355,1953,1495.3728000000085,1953
1629012,Collin Sexton,3.563279854269279,2.256072177563622,5.81266076373767,0.07086954746761435,12.132887635886014,1189,996.2304000000023,1189
1631243,Mouhamed Gueye,4.05512677588602,1.5510162632919164,5.599451771082703,-1.7063944535547197,12.136882521352245,484,356.8416000000004,484
1630193,Immanuel Quickley,3.6702526106582845,1.849418443397309,5.512979785960357,-0.7457105340659855,10.820956431066652,649,587.8176000000004,649
1642273,Kyshawn George,2.3801562352376275,3.108111412720985,5.4815763798633785,-0.5777580724354279,10.472434317484693,1702,1232.025600000004,1702
1631099,Keegan Murray,0.7942310050402055,4.660644427379097,5.448184164324065,0.858564646172409,10.569049401852878,2399,1759.9776000000152,2399
1627832,Fred VanVleet,1.106870022903348,4.332988608070973,5.433167362879081,0.319347604991767,10.200835526973348,2192,1501.4688000000076,2192
1631101,Shaedon Sharpe,2.289446360500258,2.707723851705045,4.990478944110069,-0.2661850195943606,9.813349488250719,2039,1502.0256000000024,2039
203944,Julius Randle,3.2009560628237885,1.7800937342762695,4.974358529004823,-0.09490020657028969,9.87115079391373,1984,1518.6912000000084,1984
1628991,Jaren Jackson Jr.,2.2078238215403196,2.562739258423311,4.763871811868395,-1.6523573027562084,9.95029661117534,1648,1273.0464000000052,1648
1631223,David Roddy,1.7575926078322994,3.0117725090071827,4.762673848744246,-0.6925695435276932,9.294636433086065,531,344.9280000000005,531
1630596,Evan Mobley,2.9942824118655498,1.7454237360268297,4.733014879797145,-0.6207356025656104,9.959307474728888,1808,1448.2464000000061,1808
1629655,Daniel Gafford,2.442252220537218,2.27263360830867,4.708194560750655,-0.10922656085474149,10.666903318185625,1332,935.116800000002,1332
1629669,Jaylen Nowell,3.0153112712027625,1.6940271494839019,4.702647152591428,-0.1663346854855661,9.437451667172446,207,131.6736000000002,207
1631103,Malaki Branham,3.839495651586386,0.8612591996849568,4.6940635831761055,-0.9990749605522801,9.878606845891289,418,274.10880000000026,418
201939,Stephen Curry,3.819392320983888,0.8751836541486798,4.68788470703733,-0.04780800132877568,9.276596738737656,2374,1442.1120000000085,2374
1629650,Moses Brown,1.6211348793085838,3.0143184849197087,4.628762096133061,0.36350745121699285,9.730083804311297,263,171.6096000000002,263
1629634,Brandon Clarke,4.187903580006217,0.4442140121719483,4.625426324082929,0.6182609073345603,8.931850613275317,1491,859.4880000000029,1491
1630533,Ziaire Williams,-1.2454166883875983,5.831156174464589,4.579048217981753,-0.1750176855997177,9.538481860673082,1262,891.2544000000016,1262
1630178,Tyrese Maxey,-1.702349904171089,6.029475009507125,4.3204338372408,-0.43628005993481994,8.863556585876891,1769,1392.2880000000032,1769
2544,LeBron James,2.937857413021162,1.2748450280345291,4.206011172960451,-0.9156948284126101,8.9438950052197,1683,1300.9632000000067,1683
1628976,Wendell Carter Jr.,4.038745295121662,0.16905883346656053,4.201112860492987,-1.51112206978952,9.989707986404067,1583,1047.8208000000027,1583
1631218,Trayce Jackson-Davis,3.453799711635332,0.6536958931451163,4.100804336685211,-1.108296255319109,9.85704341793595,932,605.5392000000011,932
1626157,Karl-Anthony Towns,3.6901393323149945,0.37524784041498305,4.058695904634739,-1.4594859111043124,9.27087859948091,1713,1392.7296000000078,1713
203924,Jerami Grant,3.3087535856191606,0.6855116264139991,3.9875739439379214,-0.5443735949653635,8.831711191730811,1202,883.920000000001,1202
101108,Chris Paul,1.061435130146177,2.9248941457081346,3.979638007759077,-1.8305146964790933,9.108923951174239,1473,1125.6768000000052,1473
203897,Zach LaVine,4.0332053715417375,-0.05693220988633423,3.969581893560165,-0.7752543835874094,8.863462140237294,2468,1759.8240000000158,2468
1641764,Brandin Podziemski,2.7917200220879583,1.112067896626323,3.8970966506190483,-0.934014861441776,7.855344515919641,1682,1118.966400000005,1682
1629652,Luguentz Dort,3.107905750444405,0.7893968583241374,3.8906113406733045,-1.4373309574197817,9.030561582605511,1471,1074.998400000002,1471
1641741,Ricky Council IV,-0.3679475844205545,4.238512373581589,3.8638735210657944,-1.5608583309792154,9.266687057771447,1776,1248.0576000000028,1776
1627763,Malcolm Brogdon,0.8156775118975065,2.974961510000916,3.783947753803186,-2.653896316931202,9.45964514971513,539,408.9792000000005,539
1630558,Davion Mitchell,0.48083378782192715,3.252488558735064,3.7266310784617547,-2.0748723470400066,8.857397416633882,2391,1587.0912000000128,2391
1630595,Cade Cunningham,0.10834727379790753,3.5848502393459154,3.686506245048584,-2.5172824768300006,9.699502652741232,2255,1540.2720000000077,2255
1630552,Jalen Johnson,0.36566651724320914,3.307581634182424,3.666556883330397,-2.25320669532797,10.298000882627228,947,841.3152000000011,947
1629022,Lonnie Walker IV,1.8218826330773907,1.8211252879658983,3.6363166529480533,-1.826002653694951,8.947698012745436,349,276.59520000000026,349
